id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,local_region
7981,16AZ,small_airport,Yav'pe Ma'ta Airport,34.5088996887207,-112.68000030517578,4366,Arizona,AZ
8183,1AK8,small_airport,Talaheim Airport,61.67689895629883,-151.38699340820312,610,Alaska,AK
342940,US-3522,small_airport,Fish Lakes Northeast Airstrip 1,61.978107,-150.873782,318,Alaska,AK
342941,US-3523,small_airport,Fish Lakes Northeast Airstrip 2,61.981207,-150.883858,325,Alaska,AK
347062,US-4992,small_airport,Johnson Strip Yentna Airport,61.9454,-151.036966,187,Alaska,AK
352261,US-6420,small_airport,Scooters Airport,61.948417,-151.524312,505,Alaska,AK
509640,AN03,small_airport,Alaska View Airport,61.991944,-151.360972,166,Alaska,AK
24391,S88,small_airport,Skykomish State Airport,47.710899,-121.338997,1002,Washington,WA
11573,4MS3,small_airport,Jeter Field,34.95600128173828,-89.39399719238281,520,Mississippi,MS
22814,NC73,small_airport,Hodges Farm Airport,35.43875,-76.449587,6,North Carolina,NC
17114,DDT,small_airport,Duffys Tavern Airport,62.724602,-143.921005,2420,Alaska,AK
23205,NK79,small_airport,Lewis Landing Airport,41.418399810791016,-74.53240203857422,880,New York,NY
15767,9K5,small_airport,Slater Memorial Airport,39.22919845581055,-93.07240295410156,860,Missouri,MO
6603,01LS,small_airport,Country Breeze Airport,30.722478,-91.077372,125,Louisiana,LA
21659,LS25,small_airport,Annison Private Airport,30.704599380493164,-91.06069946289062,120,Louisiana,LA
21709,LS77,small_airport,Magnolia Airpark,30.727067,-91.148736,140,Louisiana,LA
19671,KDVP,small_airport,Slayton Municipal Airport,43.986801,-95.7826,1623,Minnesota,MN
26331,Y58,small_airport,Sleepy Eye Municipal Airport,44.25,-94.71690368652344,1004,Minnesota,MN
347737,US-5184,small_airport,Slickpoo MX Park Airport,46.323533,-116.71345,1730,Idaho,ID
351639,US-6366,small_airport,Cain Airport,33.354262,-97.439203,890,Texas,TX
26193,XA68,small_airport,Akroville Airport,33.3918,-97.355301,895,Texas,TX
7488,0PN2,small_airport,Flying Acres Airport,41.07310104370117,-80.07029724121094,1247,Pennsylvania,PA
16233,AL41,small_airport,Freedom Field,31.115999221801758,-85.62550354003906,285,Alabama,AL
24323,PS98,small_airport,Travis Airport,40.8828010559082,-79.19650268554688,1320,Pennsylvania,PA
353082,US-6567,small_airport,Ship Ashore Airport,41.93628,-124.18942,14,California,CA
45430,5KY6,small_airport,Jake's Field,38.420556,-85.257778,903,Kentucky,KY
332755,92MU,small_airport,Parks Field,39.409119,-94.606228,847,Missouri,MO
22364,MS63,small_airport,Rye Field,34.054298400878906,-88.37120056152344,330,Mississippi,MS
9260,29MO,small_airport,Rollert Farm Airport,39.350799560546875,-94.51860046386719,1000,Missouri,MO
14017,79MU,small_airport,Dunham Private Airport,39.329833,-94.557931,1000,Missouri,MO
17119,DE04,small_airport,Newberg Airport,39.29169845581055,-75.57499694824219,20,Delaware,DE
17144,DE29,small_airport,Scotty's Place Airport,39.375099182128906,-75.64409637451172,40,Delaware,DE
15065,8NC3,small_airport,Winding Creek Airport,34.56610107421875,-77.44059753417969,53,North Carolina,NC
348784,US-5511,small_airport,Camp Lejeune LZ Bluebird Airstrip,34.55317,-77.31798,17,North Carolina,NC
24927,TN11,small_airport,Cantwell Airport,36.50149917602539,-83.25550079345703,1150,Tennessee,TN
14040,7AK2,small_airport,Snettisham Airport,58.134516,-133.729105,14,Alaska,AK
25601,WA04,small_airport,Kyles Airport,47.814902,-122.043915,470,Washington,WA
322194,08XA,small_airport,Knolle Ranch Airport,30.479253,-96.504031,280,Texas,TX
335941,US-1533,small_airport,Locomotive Springs Airstrip,41.707379,-112.919873,4225,Utah,UT
349663,US-5709,small_airport,Curlew Valley Airport,41.95408,-112.80615,4480,Utah,UT
329744,US-1015,small_airport,PL Fuller Rough Creek Ranch Airport,32.893325,-100.893908,2431,Texas,TX
345373,US-4441,small_airport,Covered S Ranch Airport,32.921602,-101.04983,2454,Texas,TX
6950,07OK,small_airport,Pleasant Valley Airport,34.633399963378906,-99.03369903564453,1322,Oklahoma,OK
8089,18GA,small_airport,Sleepy Hollow Airport,33.693199157714844,-83.65769958496094,750,Georgia,GA
19165,K95E,small_airport,Stallion Army Air Field,33.814598,-106.643715,4925,New Mexico,NM
25945,WS51,small_airport,Leeward Farm Airport,43.35279846191406,-90.68099975585938,1055,Wisconsin,WI
8179,1AK4,small_airport,Kenai River Airpark,60.5242,-150.751999,200,Alaska,AK
14041,7AK3,small_airport,Gaede Airport,60.476933,-151.17136,115,Alaska,AK
14043,7AK5,small_airport,Dahler Homestead Airport,60.50360107421875,-150.93600463867188,300,Alaska,AK
14044,7AK6,small_airport,Dan France Airport,60.475686,-150.929875,260,Alaska,AK
16148,AK55,small_airport,Moose Run Airstrip,60.489429,-150.801473,290,Alaska,AK
325443,04AA,small_airport,Flying W Ranch Airport,60.535833,-150.811387,250,Alaska,AK
339567,US-2855,small_airport,Gardner Airport,60.424149,-151.148229,,Alaska,AK
339568,US-2856,small_airport,Pedginski Airport,60.399091,-151.188397,,Alaska,AK
339579,US-2866,small_airport,Whisper Lake Airport,60.5141,-150.9169,,Alaska,AK
339719,US-2920,small_airport,Nelson Airport,60.48453,-150.92269,,Alaska,AK
355499,US-6922,small_airport,TJ Airport,60.490493,-151.013109,,Alaska,AK
10299,38PA,small_airport,Aerequus Airport,40.390899658203125,-75.01409912109375,390,Pennsylvania,PA
12149,57PN,small_airport,Ransome STOLport,40.39759826660156,-75.01069641113281,360,Pennsylvania,PA
10398,3AZ8,small_airport,High Mesa Airpark,32.76685,-109.653254,3080,Arizona,AZ
16120,AK26,small_airport,Solomon State Field,64.5605,-164.4457,25,Alaska,AK
13079,67OH,small_airport,Harper Ridge Airport,41.413508,-81.452607,1235,Ohio,OH
17703,IA25,small_airport,Bartlett Field,41.80059814453125,-91.43990325927734,820,Iowa,IA
16986,CT29,small_airport,Valley Farm Airport,42.013271,-72.472519,221,Connecticut,CT
334280,US-1271,small_airport,Taylor Homestead Airport,48.092824,-114.157961,2903,Montana,MT
9035,24WI,small_airport,Irlbeck Airport,45.09550094604492,-92.67379760742188,990,Wisconsin,WI
325527,AZ25,small_airport,Tri-Rotor Ag Services Airport,32.55705,-114.678947,126,Arizona,AZ
345809,US-4572,small_airport,McCall Airport,34.479551,-86.77128,700,Alabama,AL
8362,1IN5,small_airport,Bottoms Brothers Airport,38.2848014831543,-87.38200378417969,545,Indiana,IN
349864,US-5793,small_airport,Warren Airport,41.69113,-88.72256,734,Illinois,IL
9526,2LL9,small_airport,George Airport,41.704200744628906,-88.69309997558594,740,Illinois,IL
11285,49IL,small_airport,Walnut Creek Airport,41.593299865722656,-88.69170379638672,666,Illinois,IL
511313,US-8072,small_airport,Sondheimer Airport,32.545878,-91.216277,85,Louisiana,LA
338829,US-2490,small_airport,Thomas Ranch Airport,30.20112,-100.96423,1823,Texas,TX
342734,US-3463,small_airport,Wyatt Ranch Airport,30.52361,-100.23025,2271,Texas,TX
342735,US-3464,small_airport,Ingham Ranch Landing Strip,30.5637,-100.82161,2169,Texas,TX
24845,TE37,small_airport,Canyon Ranch Airport,30.301354,-100.471987,2306,Texas,TX
15969,9TE2,small_airport,JL Bar Ranch,30.568731,-100.444462,2344,Texas,TX
346009,US-4659,small_airport,JL Mayfield Ranch Airport,30.15989,-100.54345,2147,Texas,TX
346672,US-4876,small_airport,R Mayer Ranch Airport,30.63876,-100.87064,2178,Texas,TX
346895,US-4969,small_airport,Dos Mijos Ranch Airport,30.54269,-100.13795,2294,Texas,TX
347979,US-5232,small_airport,High Lonesome Ranch Airport,30.10269,-100.97947,2098,Texas,TX
350332,US-5961,small_airport,Double Oak Ranch Airport,30.35428,-100.45695,2268,Texas,TX
350845,US-6237,small_airport,Murrah Ranch Airport,30.15749,-100.97292,1877,Texas,TX
516558,K01T,small_airport,Rocking L Airport,30.37257,-100.190242,2339,Texas,TX
10471,3GA8,small_airport,Cauley's Airstrip,32.32939910888672,-82.63500213623047,251,Georgia,GA
18829,K4J8,small_airport,Treutlen County Airport,32.387699,-82.563698,345,Georgia,GA
14267,7NA9,small_airport,Sjule Private Airstrip,48.92829895019531,-100.5780029296875,1680,North Dakota,ND
22702,NA07,small_airport,Kornkven Airstrip,48.88639831542969,-100.69499969482422,1505,North Dakota,ND
17410,FL41,small_airport,Okeelanta Airport,26.581199645996094,-80.75589752197266,14,Florida,FL
10569,3LL0,small_airport,Miller Airport,42.49169921875,-89.09590148925781,760,Illinois,IL
10522,3IN7,small_airport,Chain-O-Lakes Airport,41.661243,-86.353183,743,Indiana,IN
45873,3VG9,small_airport,Potts Landing Airport,36.711385,-79.136266,550,Virginia,VA
25521,VT25,small_airport,Sky Acres Airport,44.41669845581055,-73.16619873046875,330,Vermont,VT
9651,2NY0,small_airport,Catskill Valley Airpark,42.280601501464844,-73.9529037475586,190,New York,NY
8583,1OH8,small_airport,Lisbon Airfield,39.86669921875,-83.63330078125,1160,Ohio,OH
11134,45OK,small_airport,Belleview Landing Airport,36.912601470947266,-95.60299682617188,775,Oklahoma,OK
326124,US-0804,small_airport,Big Creek Ranch Airstrip,36.914455,-95.463297,882,Oklahoma,OK
23409,NY27,small_airport,South Dayton Airport,42.37089920043945,-79.0094985961914,1300,New York,NY
16641,CD10,small_airport,Chapman Field,37.67499923706055,-106.55599975585938,8100,Colorado,CO
16693,CD69,small_airport,Morning Shadows Ranch Airport,37.740299224853516,-106.5260009765625,8300,Colorado,CO
25522,VT26,small_airport,Allenholm Airport,44.624612,-73.306495,140,Vermont,VT
9964,31KS,small_airport,Mills Field,37.99580001831055,-97.92949676513672,1520,Kansas,KS
25256,UT13,small_airport,Number 18 Airport,40.563899993896484,-112.01399993896484,4820,Utah,UT
348986,US-5557,small_airport,South Pass City Airport,42.46252,-108.79917,7949,Wyoming,WY
6692,02WA,small_airport,Cawleys South Prairie Airport,47.15230178833008,-122.09400177001953,690,Washington,WA
13978,78MI,small_airport,Carls Airport,42.04059982299805,-83.30349731445312,598,Michigan,MI
342510,US-3415,small_airport,South Shore Airport,45.09563,-96.91875,1903,South Dakota,SD
19064,K7K8,small_airport,Martin Field,42.45597,-96.472874,1100,Nebraska,NE
6986,08MA,small_airport,Wormid Airport,42.29399871826172,-71.49620056152344,360,Massachusetts,MA
7037,09MA,small_airport,Kallander Field,42.304298400878906,-71.50589752197266,403,Massachusetts,MA
8434,1MA5,small_airport,Unknown Field,42.27899932861328,-71.54779815673828,432,Massachusetts,MA
9208,28MA,small_airport,Cannizzaro Field,42.078238,-72.818792,250,Massachusetts,MA
6837,05NE,small_airport,Mc Kay Airport,41.7221984863,-98.3089981079,2010,Nebraska,NE
22963,NE85,small_airport,Glaser Airport,41.687198638916016,-98.30259704589844,2035,Nebraska,NE
21437,KZ10,small_airport,Fort Lewis Road / Pacemaker Landing Zone Airport,47.021702,-122.445999,397,Washington,WA
6749,03WA,small_airport,Spangle Field,47.408199310302734,-117.37200164794922,2440,Washington,WA
430262,US-7134,small_airport,Pine Creek Airport,47.35774,-117.33768,2425,Washington,WA
9648,2NV2,small_airport,Gibb Ranch Airport,39.835629,-119.675904,4242,Nevada,NV
23376,NV96,small_airport,Rolling Thunder Airport,39.823563,-119.658331,4240,Nevada,NV
11483,4IS8,small_airport,Leigh Farm Airport,40.02170181274414,-89.55010223388672,730,Illinois,IL
509638,8GK,small_airport,Gallatin County Airport,38.679499,-84.928898,830,Kentucky,KY
10656,3NC7,small_airport,Maxwell Airport,36.5192985534668,-81.13670349121094,3050,North Carolina,NC
15828,9MO5,small_airport,Wakefield Wings Airport,37.061199,-93.099297,1380,Missouri,MO
24438,SC40,small_airport,Pearson's Farm Airport,35.05730056762695,-81.9448013305664,850,South Carolina,SC
338965,US-2571,small_airport,Fulton Field,35.064867,-81.886554,836,South Carolina,SC
7491,0PN5,small_airport,Nichols Airport,41.77920150756836,-79.59839630126953,1761,Pennsylvania,PA
24565,SD90,small_airport,Mitchell's Strip,44.467544,-103.787042,3920,South Dakota,SD
19698,KE42,small_airport,Spearman Municipal Airport,36.221001,-101.195,3090,Texas,TX
14298,7NK4,small_airport,Ridge Road West Airport,43.222599029541016,-77.81060028076172,400,New York,NY
346199,NE81,small_airport,Huffy's Airport,42.881487,-98.655762,1690,Nebraska,NE
12783,60M,small_airport,Spencer Airport,42.290501,-71.964699,1040,Massachusetts,MA
18122,IN53,small_airport,Miller Airport,39.29238,-86.824231,710,Indiana,IN
45929,44WI,small_airport,Stoiber Airport,44.772217,-90.385067,1298,Wisconsin,WI
7909,14P,small_airport,Boggs Field,38.82389831542969,-81.34940338134766,927,West Virginia,WV
26058,WV76,small_airport,Slate Run Airport,38.777599,-81.310402,1000,West Virginia,WV
